hour,fold,mae,mae_lasso_only,rmse,mape,directional_accuracy,n_test,n_test_excluded_storm
13,1,5.697,8.485,9.588,4.331,85.71,155,0
13,2,14.824,20.061,24.028,43.98,81.82,155,0
13,3,18.667,39.865,23.43,17.891,83.77,155,0
13,4,7.469,9.854,10.498,13.191,85.71,155,0
13,5,6.71,9.974,11.115,24.92,84.42,155,0
13,6,5.041,8.175,7.599,24.158,87.66,155,0
13,7,4.847,9.618,6.556,37.999,75.32,155,0
13,8,5.932,10.475,8.031,36.894,87.66,155,0
13,9,5.539,10.598,8.069,55.825,84.42,155,0
13,10,7.34,10.763,9.444,113.841,85.06,155,0
13,11,8.608,10.026,11.117,78.556,86.03,137,18
14,0,4.513,7.933,7.204,46.231,85.06,155,0
14,1,7.348,9.598,10.681,7.199,80.52,155,0
14,2,16.577,19.813,25.57,48.406,83.12,155,0
14,3,12.355,28.12,15.974,13.589,84.42,155,0
14,4,8.655,10.38,11.946,20.028,80.52,155,0
14,5,7.005,9.886,10.532,36.255,85.71,155,0
14,6,5.658,7.822,8.108,27.175,85.71,155,0
14,7,5.68,10.42,7.371,44.124,71.43,155,0
14,8,6.499,10.037,8.65,38.854,89.61,155,0
14,9,6.024,9.975,8.355,57.288,83.77,155,0
14,10,6.445,9.453,8.189,96.685,84.42,155,0
14,11,7.664,9.077,9.666,72.368,83.82,137,18
15,0,3.903,9.046,6.726,38.949,83.77,155,0
15,1,6.377,9.889,10.996,10.33,85.71,155,0
15,2,13.747,19.014,21.772,120.23,85.06,155,0
15,3,9.793,18.658,13.857,37.609,85.06,155,0
15,4,8.571,11.524,12.446,24.3,81.17,155,0
15,5,6.769,9.693,11.579,25.163,83.77,155,0
15,6,5.065,7.6,7.78,19.119,88.31,155,0
15,7,5.465,9.96,8.111,46.631,74.03,155,0
15,8,5.901,9.419,8.935,36.783,90.91,155,0
15,9,4.838,8.851,6.887,56.499,83.77,155,0
15,10,6.752,8.586,8.631,126.249,79.87,155,0
15,11,6.476,7.54,8.082,57.024,86.76,137,18
16,0,4.244,12.183,7.724,74.415,84.42,155,0
16,1,7.242,10.924,12.166,14.077,81.82,155,0
16,2,14.626,18.048,23.057,102.391,88.31,155,0
16,3,10.933,21.705,15.615,49.926,83.77,155,0
16,4,8.379,11.239,12.222,24.839,85.71,155,0
