# Source: yfinance KRBN (scaled proxy) | Downloaded: 2026-05-06T08:34:38.533298
date,eua_co2
2021-09-28,66.70399751663209
2021-09-29,66.83373231887818
2021-09-30,66.63912563323974
2021-10-01,68.30956430435181
2021-10-04,68.90962810516358
2021-10-05,69.68808174133301
2021-10-06,65.73092823028564
2021-10-07,65.8768798828125
2021-10-08,63.41176624298096
2021-10-11,64.6118893623352
2021-10-12,65.01733751296997
2021-10-13,65.0822093963623
2021-10-14,67.28783102035523
2021-10-15,64.96867799758911
2021-10-18,64.07670192718506
2021-10-19,62.681976604461674
2021-10-20,64.87138586044311
2021-10-21,65.7957911491394
2021-10-22,67.1743085861206
2021-10-25,67.23917598724366
2021-10-26,67.45001745223999
2021-10-27,67.12566251754761
2021-10-28,66.57424478530884
2021-10-29,66.24989433288575
2021-11-01,65.56873731613159
2021-11-02,67.887894821167
2021-11-03,68.0014217376709
2021-11-04,67.70950050354004
2021-11-05,67.57975225448608
2021-11-08,68.84475173950196
2021-11-09,68.94205732345581
2021-11-10,71.00171384811402
2021-11-11,71.82883148193359
2021-11-12,71.7477427482605
2021-11-15,74.29394512176513
2021-11-16,74.66695957183838
2021-11-17,73.953373336792
2021-11-18,75.88328609466554
2021-11-19,76.35361061096192
2021-11-22,75.93195457458496
2021-11-23,75.3480941772461
2021-11-24,75.08861112594604
2021-11-26,76.01302986145019
2021-11-29,77.27803382873536
2021-11-30,77.5699640274048
2021-12-01,78.59167041778565
2021-12-02,78.44570980072022
2021-12-03,77.6996898651123
2021-12-06,81.13787727355957
2021-12-07,84.08952331542969
2021-12-08,88.77648887634278
2021-12-09,81.62440967559814
2021-12-10,83.6516414642334
2021-12-13,81.26761207580567
2021-12-14,79.93774967193603
2021-12-15,81.30005474090576
2021-12-16,84.21926708221436
2021-12-17,76.17521629333497
2021-12-20,80.47294158935547
2021-12-21,79.7107048034668
2021-12-22,79.46743412017823
2021-12-23,77.53751239776612
2021-12-27,79.02955226898193
2021-12-28,80.60268535614014
2021-12-29,82.11525402069093
2021-12-30,81.80555610656738
2021-12-31,82.96280632019044
2022-01-03,85.52177867889405
2022-01-04,86.54862174987794
2022-01-05,87.81996364593506
2022-01-06,86.2715368270874
2022-01-07,85.40769596099854
2022-01-10,82.0174509048462
2022-01-11,82.18043518066406
2022-01-12,81.57737274169922
2022-01-13,82.6205223083496
2022-01-14,83.38658695220947
2022-01-18,82.8161195755005
2022-01-19,81.2350887298584
2022-01-20,83.79406108856202
2022-01-21,82.71832542419433
2022-01-24,80.77870407104493
2022-01-25,83.43547954559327
2022-01-26,83.63106784820557
2022-01-27,83.89185523986816
2022-01-28,84.26674327850343
2022-01-31,84.95130233764648
2022-02-01,85.06540298461914
2022-02-02,89.30318241119384
2022-02-03,89.56397876739503
2022-02-04,91.25909233093262
2022-02-07,90.29743938446045
2022-02-08,90.21594276428223
2022-02-09,86.87459926605224
2022-02-10,86.22264423370362
2022-02-11,86.93980731964112
2022-02-14,85.47287712097169
2022-02-15,84.65791988372803
2022-02-16,84.42972755432129
2022-02-17,82.2945447921753
2022-02-18,84.34823989868164
2022-02-22,84.42972755432129
2022-02-23,87.52657222747803
2022-02-24,83.37028045654297
2022-02-25,84.3808349609375
2022-02-28,79.8659616470337
2022-03-01,69.418186378479
2022-03-02,68.58693161010743
2022-03-03,66.01166172027588
2022-03-04,65.05000877380371
2022-03-07,58.025064659118655
2022-03-08,65.09891033172607
2022-03-09,70.26575212478637
2022-03-10,71.81416549682618
2022-03-11,73.0692008972168
2022-03-14,73.55818061828613
2022-03-15,74.32423629760743
2022-03-16,75.43257598876953
2022-03-17,76.44313945770264
2022-03-18,75.54667663574219
2022-03-21,74.73172388076783
2022-03-22,75.90525817871094
2022-03-23,73.52558555603028
2022-03-24,74.97620925903321
2022-03-25,75.18810405731202
2022-03-28,76.96471424102783
2022-03-29,79.34439582824707
2022-03-30,77.53518161773682
2022-03-31,76.05194492340088
2022-04-01,77.04621086120606
2022-04-04,77.61666927337647
2022-04-05,76.83431606292724
2022-04-06,76.16604557037354
2022-04-07,77.99155731201172
2022-04-08,78.49683456420898
2022-04-11,76.78542346954346
2022-04-12,77.24179916381836
2022-04-13,76.98101177215577
2022-04-14,77.77967147827148
2022-04-18,76.94840774536134
2022-04-19,77.29069175720215
2022-04-20,81.62627429962158
2022-04-21,81.70777091979981
2022-04-22,82.52272815704346
2022-04-25,78.33384132385254
2022-04-26,76.96471424102783
2022-04-27,75.8726541519165
2022-04-28,76.85060462951661
2022-04-29,77.25808773040772
2022-05-02,76.32904777526856
2022-05-03,80.04525241851807
2022-05-04,80.50162811279297
2022-05-05,80.25714721679688
2022-05-06,81.98485584259033
2022-05-09,78.56202468872071
2022-05-10,79.75187892913819
2022-05-11,79.67037334442139
2022-05-12,78.20345211029053
2022-05-13,78.8228120803833
2022-05-16,80.35494136810303
2022-05-17,81.08840198516846
2022-05-18,77.42108097076417
2022-05-19,77.04621086120606
2022-05-20,75.5140905380249
2022-05-23,75.41629638671876
2022-05-24,77.192897605896
2022-05-25,77.55148811340332
2022-05-26,80.12675800323487
2022-05-27,79.81706008911134
2022-05-31,80.14304656982422
2022-06-01,81.2350887298584
2022-06-02,81.8544755935669
