# Source: REN Data Hub Production Breakdown PT.xlsx | Downloaded: 2026-05-12T08:46:33.552467
date,wind_pt,solar_pt,hydro_gen_pt,biomass_pt,gas_ccgt_pt,gas_cogen_pt,coal_gen_pt,imports_pt,exports_pt,pumping_pt,demand_pt
2023-01-23,2524.1659226190477,250.7282738095238,3788.174404761905,347.8235119047619,308.572619047619,210.45729166666666,0.0,488.73839285714286,802.8090773809523,503.2766369047619,6628.406845238096
2023-01-30,1911.9534226190476,349.38690476190476,3685.5446428571427,350.7010416666667,541.197619047619,214.81770833333334,0.0,628.3053571428571,350.7364583333333,470.92276785714284,6878.148363095238
2023-02-06,1428.6369047619048,392.78526785714286,2994.5379464285716,351.56875,1575.0190476190478,280.82395833333334,0.0,603.4806547619048,552.1285714285715,463.8638392857143,6625.494345238096
2023-02-13,2815.7104166666663,252.6422619047619,2324.783630952381,363.14910714285713,1927.7476190476189,219.6113095238095,0.0,73.00104166666667,1290.7601190476191,208.56383928571427,6495.723065476191
2023-02-20,1749.1038690476191,278.7489583333333,1512.7047619047619,363.38943452380954,1906.3815476190475,214.56339285714287,0.0,881.7590773809524,420.72187499999995,492.2171130952381,6013.454166666667
2023-02-27,871.1590773809525,335.3590773809524,1636.7267857142856,352.384375,1654.6636904761904,251.07842261904764,0.0,1558.6458333333333,363.12425595238096,180.04970238095237,6133.289583333333
2023-03-06,915.3369047619047,331.0892857142857,1602.7339285714286,336.55595238095236,1810.797619047619,262.9607142857143,0.0,1497.0861607142858,54.33273809523809,238.4233630952381,6484.987351190476
2023-03-13,2573.5857142857144,307.5916666666667,1086.9333333333332,325.94895833333334,241.51488095238096,200.9686011904762,0.0,1916.2419642857144,81.08035714285714,564.3653273809524,6020.4440476190475
2023-03-20,1315.3175595238095,441.25505952380956,1605.6755952380952,347.0686011904762,472.90119047619044,230.9264880952381,0.0,1691.7218750000002,32.48095238095238,348.4936011904762,5739.338839285714
2023-03-27,1115.1311377245509,465.45523952095806,1513.48877245509,378.4776946107784,331.9748502994012,219.2010479041916,0.0,2078.505838323353,46.328592814371255,409.13697604790417,5661.234880239521
2023-04-03,1591.6645833333334,435.08184523809524,1232.8943452380952,372.90193452380953,140.95178571428573,240.54821428571427,0.0,2033.9104166666668,5.466815476190476,520.2754464285714,5535.924702380952
2023-04-10,978.4943452380952,528.7321428571429,1141.2186011904762,370.2479166666667,137.66309523809525,175.25208333333333,0.0,2234.2956845238095,11.592708333333334,507.6380952380952,5059.520386904762
2023-04-17,1955.4258928571428,515.1290178571429,995.7035714285715,366.43809523809523,106.19940476190476,176.57633928571428,0.0,1972.334523809524,10.863541666666666,651.9122023809524,5431.065922619047
2023-04-24,1019.9369047619048,506.71264880952384,817.179761904762,340.5907738095238,1170.4827380952381,225.08556547619048,0.0,1667.093601190476,33.06339285714286,381.46517857142857,5333.16488095238
2023-05-01,769.0328869047619,521.057738095238,705.9854166666667,343.8608630952381,1095.347619047619,210.91190476190474,0.0,1800.2233630952383,14.712499999999999,365.77961309523806,5075.7486607142855
2023-05-08,1210.5485119047619,525.2941964285715,654.1636904761905,336.1260416666667,1137.352380952381,235.08928571428572,0.0,1691.9130952380954,21.57113095238095,429.7837797619048,5350.214136904762
2023-05-15,2089.11369047619,584.5023809523809,743.7026785714286,295.27857142857147,312.622619047619,184.74747023809525,0.0,1654.4869047619047,38.0797619047619,521.4087797619047,5303.8946428571435
2023-05-22,1901.6105654761905,453.2758928571429,775.3377976190476,308.55535714285713,96.33928571428571,205.06026785714286,0.0,2103.563392857143,5.630357142857143,516.3293154761905,5338.112648809524
2023-05-29,1354.349107142857,410.82410714285714,555.8153273809525,323.7677083333333,805.4238095238096,218.18467261904763,0.0,2174.1002976190475,0.28675595238095236,451.67455357142853,5408.151934523809
2023-06-05,396.8681547619048,484.82544642857147,822.16875,320.7309523809524,1846.9815476190477,255.19226190476192,0.0,1564.852976190476,36.91517857142857,285.7833333333333,5391.865327380952
2023-06-12,1254.6994047619048,430.44702380952384,1253.9723214285714,338.34107142857147,985.5660714285715,234.85059523809525,0.0,1207.2433035714287,234.75997023809526,263.6541666666667,5224.083035714286
2023-06-19,747.83125,529.8395833333334,1291.4135416666668,323.87321428571425,1326.1125,292.4782738095238,0.0,1588.2190476190476,168.19866071428572,358.50133928571427,5580.620089285714
2023-06-26,658.3035714285714,539.1095238095238,943.6144345238096,317.8965773809524,1043.1494047619049,295.0970238095238,0.0,2138.0471726190476,17.872470238095236,248.05357142857142,5688.794345238095
2023-07-03,1407.9098214285714,560.703125,719.5772321428572,278.76681547619046,1062.1595238095238,296.3404761904762,0.0,1949.1815476190477,28.932440476190475,372.7918154761905,5891.8891369047615
2023-07-10,1085.0863095238096,588.7474702380953,696.0477678571428,310.3700892857143,1632.455357142857,283.4168154761905,0.0,1488.546130952381,61.02351190476191,347.06919642857144,5695.885863095238
2023-07-17,1303.2212797619047,595.5703869047619,572.9630952380952,338.7110119047619,1324.7113095238096,250.86502976190474,0.0,1716.6912202380952,31.98035714285714,434.1061011904762,5653.9205357142855
2023-07-24,1295.4561011904761,561.3309523809525,642.2875,321.89181547619046,1398.4202380952381,264.463244047619,0.0,1550.3941964285714,24.896726190476187,440.3891369047619,5587.1547619047615
2023-07-31,1346.3857142857141,597.4870535714285,714.9458333333333,318.4427083333333,1213.9607142857142,259.60357142857146,0.0,1541.1199404761905,27.03690476190476,397.99523809523805,5583.750595238095
2023-08-07,1790.8386904761905,592.528125,737.6723214285714,329.6558035714286,471.9577380952381,237.38333333333335,0.0,1933.2001488095239,22.01279761904762,421.5434523809524,5665.279315476191
2023-08-14,1137.5072916666668,567.6470238095238,799.5678571428571,351.33705357142856,1403.6773809523809,203.5248511904762,0.0,1536.9650297619048,67.06145833333333,437.29211309523805,5514.640029761905
2023-08-21,868.5275297619048,565.1529761904761,697.8144345238095,355.9238095238095,1156.3702380952382,220.10252976190475,0.0,1814.1416666666667,8.651041666666666,472.36056547619046,5214.751636904762
2023-08-28,1449.2022321428572,540.9816964285715,554.6037202380952,355.1950892857143,1354.9261904761904,205.61770833333335,0.0,1531.426488095238,30.651636904761908,387.4892857142857,5587.826339285714
2023-09-04,1821.639136904762,459.41190476190474,478.86889880952384,306.24642857142857,1103.532738095238,188.575,0.0,1588.429613095238,35.15550595238095,456.56026785714283,5456.438541666667
2023-09-11,822.4415178571428,375.36875,969.273511904762,337.9997023809524,1510.0857142857142,226.3331845238095,0.0,1815.7598214285715,77.99241071428571,372.19910714285714,5610.2668154761905
2023-09-18,1115.3153273809523,421.2650297619047,890.8068452380952,322.61592261904764,1553.314880952381,194.3684523809524,0.0,1576.4080357142857,50.072470238095235,454.2793154761905,5573.102529761904
2023-09-25,911.2562499999999,496.4879464285715,970.8098214285714,328.74002976190474,964.1720238095238,197.49315476190475,0.0,2142.4401785714285,33.88854166666666,568.8141369047619,5410.137946428572
2023-10-02,565.3260416666666,536.9732142857143,1205.026636904762,317.900744047619,1031.607142857143,193.753125,0.0,2150.361755952381,50.78735119047619,389.90744047619046,5562.971875
2023-10-09,622.0105654761904,497.5933035714286,928.1864583333333,308.34017857142857,1495.3446428571428,193.45178571428573,0.0,1861.8614583333333,83.63080357142857,425.34747023809524,5400.4752976190475
2023-10-16,938.8166666666667,334.6889880952381,1533.084375,327.7479166666667,1469.4875,136.88214285714287,0.0,1448.2049107142857,212.66145833333334,313.54806547619046,5664.769940476191
