# Source: REN Data Hub (Consumo) | Downloaded: 2026-05-13T08:52:18.656252
date,demand_pt
2018-01-08,6204.205357142857
2018-01-15,6585.620684523809
2018-01-22,6330.533928571428
2018-01-29,6342.452827380952
2018-02-05,6368.877529761905
2018-02-12,6575.956547619047
2018-02-19,6185.697767857143
2018-02-26,6074.717113095238
2018-03-05,6399.30550595238
2018-03-12,6378.9415178571435
2018-03-19,6275.543898809524
2018-03-26,6249.567365269461
2018-04-02,5669.405208333333
2018-04-09,6033.281101190476
2018-04-16,6123.8815476190475
2018-04-23,5521.061458333333
2018-04-30,5270.973660714286
2018-05-07,5306.627380952381
2018-05-14,5376.746428571429
2018-05-21,5367.551785714286
2018-05-28,5388.7747023809525
2018-06-04,5151.994047619048
2018-06-11,5431.0013392857145
2018-06-18,5506.780952380952
2018-06-25,5716.355505952381
2018-07-02,5567.262202380953
2018-07-09,5603.244494047619
2018-07-16,5735.902083333333
2018-07-23,5689.058779761905
2018-07-30,5648.441964285715
2018-08-06,6006.4779761904765
2018-08-13,5482.469345238095
2018-08-20,5252.0688988095235
2018-08-27,5500.629761904762
2018-09-03,5562.958333333333
2018-09-10,5699.628422619047
2018-09-17,5865.542410714285
2018-09-24,5854.977083333333
2018-10-01,5899.557886904762
2018-10-08,5437.050595238095
2018-10-15,5451.917410714285
2018-10-22,5396.794047619048
2018-10-29,5452.84201183432
2018-11-05,5598.329761904762
2018-11-12,5996.315178571428
2018-11-19,5828.198065476191
2018-11-26,6070.713095238096
2018-12-03,6219.121130952381
2018-12-10,6077.678571428572
2018-12-17,6240.856696428572
2018-12-24,5992.003273809524
2018-12-31,5381.211160714285
2019-01-07,6106.062648809524
2019-01-14,6599.558928571428
2019-01-21,6647.544642857143
2019-01-28,6398.552678571429
2019-02-04,6482.643749999999
2019-02-11,6380.352827380952
2019-02-18,6079.880803571428
2019-02-25,5927.762648809524
2019-03-04,5624.0116071428565
2019-03-11,5702.840327380953
2019-03-18,5762.818154761904
2019-03-25,5616.834226190476
2019-04-01,5504.9034431137725
2019-04-08,5761.448511904762
2019-04-15,5689.067857142857
2019-04-22,5276.427678571428
2019-04-29,5380.221875
2019-05-06,5247.222023809524
2019-05-13,5514.276636904762
2019-05-20,5470.750744047619
2019-05-27,5486.339434523809
2019-06-03,5703.13125
2019-06-10,5344.020833333333
2019-06-17,5424.244940476191
2019-06-24,5284.645535714286
2019-07-01,5598.394345238095
2019-07-08,5623.7625
2019-07-15,5852.520684523809
2019-07-22,5772.434077380953
2019-07-29,5705.177827380952
2019-08-05,5513.766369047619
2019-08-12,5389.5480654761905
2019-08-19,5136.163392857143
2019-08-26,5344.9831845238095
2019-09-02,5421.804910714285
2019-09-09,5749.062648809524
2019-09-16,5685.171279761905
2019-09-23,5548.669494047619
2019-09-30,5538.473660714286
2019-10-07,5508.242113095238
2019-10-14,5531.331398809524
2019-10-21,5529.2383928571435
2019-10-28,5629.46449704142
2019-11-04,5583.167410714285
2019-11-11,5862.632738095238
2019-11-18,6144.271130952381
2019-11-25,6357.788392857143
2019-12-02,6190.729464285714
2019-12-09,6362.357589285714
2019-12-16,6476.921279761904
2019-12-23,6186.296577380952
2019-12-30,5251.543452380953
2020-01-06,5884.234523809524
2020-01-13,6689.720684523809
2020-01-20,6563.593601190477
2020-01-27,6678.452083333333
2020-02-03,6321.851636904762
2020-02-10,6007.987202380952
2020-02-17,6087.786011904762
2020-02-24,5841.524107142857
2020-03-02,5811.598214285715
2020-03-09,6013.365029761904
2020-03-16,5782.999702380952
2020-03-23,5417.530952380952
2020-03-30,5076.860179640718
2020-04-06,5176.504166666667
2020-04-13,4664.078571428571
2020-04-20,4862.140327380952
2020-04-27,4824.1392857142855
2020-05-04,4711.803125
2020-05-11,4709.878273809524
2020-05-18,4747.222619047619
2020-05-25,4818.068452380952
2020-06-01,5044.617261904762
2020-06-08,4974.852678571428
2020-06-15,4642.338839285714
2020-06-22,5124.304910714285
2020-06-29,5187.013244047619
2020-07-06,5400.900297619048
2020-07-13,5690.526041666667
2020-07-20,5965.2980654761905
2020-07-27,5766.005803571428
2020-08-03,5612.797172619048
2020-08-10,5571.100446428572
2020-08-17,5216.175595238095
2020-08-24,5185.7375
2020-08-31,5310.994196428572
2020-09-07,5588.552678571428
2020-09-14,5742.744642857143
2020-09-21,5569.7044642857145
2020-09-28,5467.588244047619
2020-10-05,5300.885565476191
2020-10-12,5410.069196428572
2020-10-19,5467.758928571428
2020-10-26,5568.247928994083
2020-11-02,5619.985267857143
2020-11-09,5772.075297619048
2020-11-16,5707.35625
2020-11-23,5640.534970238095
2020-11-30,5954.325446428572
