"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"10/16/2025,""89.55"",""89.55"",""89.55"",""89.55"","""",""-1.13%"""
"10/15/2025,""90.57"",""90.57"",""90.57"",""90.57"","""",""-1.66%"""
"10/14/2025,""92.10"",""92.10"",""92.10"",""92.10"","""",""1.44%"""
"10/13/2025,""90.79"",""90.79"",""90.79"",""90.79"","""",""-3.34%"""
"10/10/2025,""93.93"",""93.93"",""93.93"",""93.93"","""",""-0.70%"""
"10/09/2025,""94.59"",""94.59"",""94.59"",""94.59"","""",""-1.21%"""
"10/08/2025,""95.75"",""95.75"",""95.75"",""95.75"","""",""-0.57%"""
"10/07/2025,""96.30"",""96.30"",""96.30"",""96.30"","""",""-0.69%"""
"10/06/2025,""96.97"",""96.97"",""96.97"",""96.97"","""",""7.33%"""
"10/03/2025,""90.35"",""90.35"",""90.35"",""90.35"","""",""8.52%"""
"10/02/2025,""83.26"",""83.26"",""83.26"",""83.26"","""",""-1.91%"""
"10/01/2025,""84.88"",""84.88"",""84.88"",""84.88"","""",""-1.37%"""
"09/30/2025,""86.06"",""86.06"",""86.06"",""86.06"","""",""3.05%"""
"09/29/2025,""83.51"",""83.51"",""83.51"",""83.51"","""",""0.53%"""
"09/26/2025,""83.07"",""83.07"",""83.07"",""83.07"","""",""1.30%"""
"09/25/2025,""82.00"",""82.00"",""82.00"",""82.00"","""",""1.55%"""
"09/24/2025,""80.75"",""80.75"",""80.75"",""80.75"","""",""1.46%"""
"09/23/2025,""79.59"",""79.59"",""79.59"",""79.59"","""",""-1.76%"""
"09/22/2025,""81.02"",""81.02"",""81.02"",""81.02"","""",""-2.63%"""
"09/19/2025,""83.21"",""83.21"",""83.21"",""83.21"","""",""-0.94%"""
"09/18/2025,""84.00"",""84.00"",""84.00"",""84.00"","""",""0.84%"""
"09/17/2025,""83.30"",""83.30"",""83.30"",""83.30"","""",""0.49%"""
"09/16/2025,""82.89"",""82.89"",""82.89"",""82.89"","""",""0.78%"""
"09/15/2025,""82.25"",""82.25"",""82.25"",""82.25"","""",""1.91%"""
"09/12/2025,""80.71"",""80.71"",""80.71"",""80.71"","""",""0.64%"""
"09/11/2025,""80.20"",""80.20"",""80.20"",""80.20"","""",""-2.75%"""
"09/10/2025,""82.47"",""82.47"",""82.47"",""82.47"","""",""-2.55%"""
"09/09/2025,""84.63"",""84.63"",""84.63"",""84.63"","""",""-1.97%"""
"09/08/2025,""86.33"",""86.33"",""86.33"",""86.33"","""",""-0.15%"""
"09/05/2025,""86.46"",""86.46"",""86.46"",""86.46"","""",""0.38%"""
"09/04/2025,""86.13"",""86.13"",""86.13"",""86.13"","""",""0.28%"""
"09/03/2025,""85.89"",""85.89"",""85.89"",""85.89"","""",""0.22%"""
"09/02/2025,""85.70"",""85.70"",""85.70"",""85.70"","""",""11.21%"""
"08/29/2025,""77.06"",""77.06"",""77.06"",""77.06"","""",""0.29%"""
"08/28/2025,""76.84"",""76.84"",""76.84"",""76.84"","""",""0.25%"""
"08/27/2025,""76.65"",""76.65"",""76.65"",""76.65"","""",""0.75%"""
"08/26/2025,""76.08"",""76.08"",""76.08"",""76.08"","""",""0.42%"""
"08/25/2025,""75.76"",""75.76"",""75.76"",""75.76"","""",""0.00%"""
"08/22/2025,""75.76"",""75.76"",""75.76"",""75.76"","""",""0.53%"""
"08/21/2025,""75.36"",""75.36"",""75.36"",""75.36"","""",""0.15%"""
"08/20/2025,""75.25"",""75.25"",""75.25"",""75.25"","""",""0.75%"""
"08/19/2025,""74.69"",""74.69"",""74.69"",""74.69"","""",""-0.21%"""
"08/18/2025,""74.85"",""74.85"",""74.85"",""74.85"","""",""0.21%"""
"08/15/2025,""74.69"",""74.69"",""74.69"",""74.69"","""",""-0.74%"""
"08/14/2025,""75.25"",""75.25"",""75.25"",""75.25"","""",""-0.49%"""
"08/13/2025,""75.62"",""75.62"",""75.62"",""75.62"","""",""-1.91%"""
"08/12/2025,""77.09"",""77.09"",""77.09"",""77.09"","""",""-0.55%"""
"08/11/2025,""77.52"",""77.52"",""77.52"",""77.52"","""",""0.49%"""
"08/08/2025,""77.14"",""77.14"",""77.14"",""77.14"","""",""-0.18%"""
"08/07/2025,""77.28"",""77.28"",""77.28"",""77.28"","""",""-0.77%"""
