Date;Price;Open;High;Low;Vol.;Change %
01/10/2025;84,88;84,88;84,88;84,88;;-1,37%
30/09/2025;86,06;86,06;86,06;86,06;;3,05%
29/09/2025;83,51;83,51;83,51;83,51;;0,53%
26/09/2025;83,07;83,07;83,07;83,07;;1,30%
25/09/2025;82;82;82;82;;1,55%
24/09/2025;80,75;80,75;80,75;80,75;;1,46%
23/09/2025;79,59;79,59;79,59;79,59;;-1,76%
22/09/2025;81,02;81,02;81,02;81,02;;-2,63%
19/09/2025;83,21;83,21;83,21;83,21;;-0,94%
18/09/2025;84;84;84;84;;0,84%
17/09/2025;83,3;83,3;83,3;83,3;;0,49%
16/09/2025;82,89;82,89;82,89;82,89;;0,78%
15/09/2025;82,25;82,25;82,25;82,25;;1,91%
12/09/2025;80,71;80,71;80,71;80,71;;0,64%
11/09/2025;80,2;80,2;80,2;80,2;;-2,75%
10/09/2025;82,47;82,47;82,47;82,47;;-2,55%
09/09/2025;84,63;84,63;84,63;84,63;;-1,97%
08/09/2025;86,33;86,33;86,33;86,33;;-0,15%
05/09/2025;86,46;86,46;86,46;86,46;;0,38%
04/09/2025;86,13;86,13;86,13;86,13;;0,28%
03/09/2025;85,89;85,89;85,89;85,89;;0,22%
02/09/2025;85,7;85,7;85,7;85,7;;11,21%
29/08/2025;77,06;77,06;77,06;77,06;;0,29%
28/08/2025;76,84;76,84;76,84;76,84;;0,25%
27/08/2025;76,65;76,65;76,65;76,65;;0,75%
26/08/2025;76,08;76,08;76,08;76,08;;0,42%
25/08/2025;75,76;75,76;75,76;75,76;;0,00%
22/08/2025;75,76;75,76;75,76;75,76;;0,53%
21/08/2025;75,36;75,36;75,36;75,36;;0,15%
20/08/2025;75,25;75,25;75,25;75,25;;0,75%
19/08/2025;74,69;74,69;74,69;74,69;;-0,21%
18/08/2025;74,85;74,85;74,85;74,85;;0,21%
15/08/2025;74,69;74,69;74,69;74,69;;-0,74%
14/08/2025;75,25;75,25;75,25;75,25;;-0,49%
13/08/2025;75,62;75,62;75,62;75,62;;-1,91%
12/08/2025;77,09;77,09;77,09;77,09;;-0,55%
11/08/2025;77,52;77,52;77,52;77,52;;0,49%
08/08/2025;77,14;77,14;77,14;77,14;;-0,18%
07/08/2025;77,28;77,28;77,28;77,28;;-0,77%
06/08/2025;77,88;77,88;77,88;77,88;;-1,07%
05/08/2025;78,72;78,72;78,72;78,72;;2,02%
04/08/2025;77,16;77,16;77,16;77,16;;-1,72%
01/08/2025;78,51;78,51;78,51;78,51;;-3,79%
31/07/2025;81,6;81,6;81,6;81,6;;-7,06%
30/07/2025;87,8;87,8;87,8;87,8;;0,21%
29/07/2025;87,62;87,62;87,62;87,62;;-0,41%
28/07/2025;87,98;87,98;87,98;87,98;;0,55%
25/07/2025;87,5;87,5;87,5;87,5;;0,40%
24/07/2025;87,15;87,15;87,15;87,15;;0,48%
23/07/2025;86,73;86,73;86,73;86,73;;-0,20%
22/07/2025;86,9;86,9;86,9;86,9;;1,36%
21/07/2025;85,73;85,73;85,73;85,73;;1,67%
18/07/2025;84,32;84,32;84,32;84,32;;0,08%
17/07/2025;84,25;84,25;84,25;84,25;;-1,03%
16/07/2025;85,13;85,13;85,13;85,13;;0,33%
15/07/2025;84,85;84,85;84,85;84,85;;-1,34%
14/07/2025;86;86;86;86;;0,00%
11/07/2025;86;86;86;86;;-0,89%
10/07/2025;86,77;86,77;86,77;86,77;;-0,75%
09/07/2025;87,43;87,43;87,43;87,43;;-1,40%
08/07/2025;88,67;88,67;88,67;88,67;;0,61%
07/07/2025;88,13;88,13;88,13;88,13;;4,92%
03/07/2025;84;84;84;84;;-1,78%
02/07/2025;85,52;85,52;85,52;85,52;;3,54%
01/07/2025;82,6;82,6;82,6;82,6;;5,13%
30/06/2025;78,57;78,57;78,57;78,57;;23,40%
27/06/2025;63,67;63,67;63,67;63,67;;-0,87%
26/06/2025;64,23;64,23;64,23;64,23;;0,34%
25/06/2025;64,01;64,01;64,01;64,01;;1,52%
24/06/2025;63,05;63,05;63,05;63,05;;1,33%
23/06/2025;62,22;62,22;62,22;62,22;;-1,88%
20/06/2025;63,41;63,41;63,41;63,41;;-0,77%
18/06/2025;63,9;63,9;63,9;63,9;;-3,27%
17/06/2025;66,06;66,06;66,06;66,06;;-0,09%
16/06/2025;66,12;66,12;66,12;66,12;;0,00%
13/06/2025;66,12;66,12;66,12;66,12;;1,12%
12/06/2025;65,39;65,39;65,39;65,39;;-2,02%
11/06/2025;66,74;66,74;66,74;66,74;;0,35%
10/06/2025;66,51;66,51;66,51;66,51;;-1,32%
09/06/2025;67,4;67,4;67,4;67,4;;-4,42%
06/06/2025;70,52;70,52;70,52;70,52;;2,89%
05/06/2025;68,54;68,54;68,54;68,54;;-0,42%
04/06/2025;68,83;68,83;68,83;68,83;;0,61%
03/06/2025;68,41;68,41;68,41;68,41;;-0,48%
02/06/2025;68,74;68,74;68,74;68,74;;2,08%
30/05/2025;67,34;67,34;67,34;67,34;;-0,03%
29/05/2025;67,36;67,36;67,36;67,36;;0,18%
28/05/2025;67,24;67,24;67,24;67,24;;-0,53%
27/05/2025;67,6;67,6;67,6;67,6;;0,91%
23/05/2025;66,99;66,99;66,99;66,99;;-3,29%
22/05/2025;69,27;69,27;69,27;69,27;;0,03%
21/05/2025;69,25;69,25;69,25;69,25;;0,25%
20/05/2025;69,08;69,08;69,08;69,08;;-0,45%
19/05/2025;69,39;69,39;69,39;69,39;;-1,71%
16/05/2025;70,6;70,6;70,6;70,6;;-1,08%
15/05/2025;71,37;71,37;71,37;71,37;;3,37%
14/05/2025;69,04;69,04;69,04;69,04;;-0,46%
13/05/2025;69,36;69,36;69,36;69,36;;-1,98%
12/05/2025;70,76;70,76;70,76;70,76;;5,36%
09/05/2025;67,16;67,16;67,16;67,16;;-1,63%
08/05/2025;68,27;68,27;68,27;68,27;;-2,50%
07/05/2025;70,02;70,02;70,02;70,02;;-1,02%
06/05/2025;70,74;70,74;70,74;70,74;;2,63%
05/05/2025;68,93;68,93;68,93;68,93;;0,00%
02/05/2025;68,93;68,93;68,93;68,93;;3,55%
