DATA QUALITY REPORT
============================================================
Total rows: 2213
Date range: 2018-01-01 00:00:00 to 2026-06-24 00:00:00

Column                               Missing        %
omip_q3_24_lag_10d                      1770    80.0%
omip_q3_24_lag_15d                      1770    80.0%
omip_q3_24_lag_1d                       1770    80.0%
omip_q3_24_lag_20d                      1770    80.0%
omip_q3_24_lag_25d                      1770    80.0%
omip_q3_24_lag_2d                       1770    80.0%
omip_q3_24_lag_30d                      1770    80.0%
omip_q3_24_lag_3d                       1770    80.0%
omip_q3_24_lag_5d                       1770    80.0%
omip_q3_24_lag_65d                      1770    80.0%
omip_q3_24_momentum_20d                 1801    81.4%
omip_q3_24_momentum_65d                 1840    83.1%
omip_q3_24_vol_20d                      1758    79.4%
omip_q3_24_vol_40d                      1758    79.4%
omip_q3_25                              1776    80.3%
omip_q3_25_lag_10d                      1776    80.3%
omip_q3_25_lag_15d                      1776    80.3%
omip_q3_25_lag_1d                       1776    80.3%
omip_q3_25_lag_20d                      1776    80.3%
omip_q3_25_lag_25d                      1776    80.3%
omip_q3_25_lag_2d                       1776    80.3%
omip_q3_25_lag_30d                      1776    80.3%
omip_q3_25_lag_3d                       1776    80.3%
omip_q3_25_lag_5d                       1776    80.3%
omip_q3_25_lag_65d                      1776    80.3%
omip_q3_25_momentum_20d                 1813    81.9%
omip_q3_25_momentum_65d                 1853    83.7%
omip_q3_25_vol_20d                      1757    79.4%
omip_q3_25_vol_40d                      1757    79.4%
omip_q3_26                              1780    80.4%
omip_q3_26_lag_10d                      1789    80.8%
omip_q3_26_lag_15d                      1794    81.1%
omip_q3_26_lag_1d                       1780    80.4%
omip_q3_26_lag_20d                      1799    81.3%
omip_q3_26_lag_25d                      1804    81.5%
omip_q3_26_lag_2d                       1781    80.5%
omip_q3_26_lag_30d                      1809    81.7%
omip_q3_26_lag_3d                       1782    80.5%
omip_q3_26_lag_5d                       1784    80.6%
omip_q3_26_lag_65d                      1841    83.2%
omip_q3_26_momentum_20d                 1816    82.1%
omip_q3_26_momentum_65d                 1857    83.9%
omip_q3_26_vol_20d                      1770    80.0%
omip_q3_26_vol_40d                      1780    80.4%
omip_q3_27                              2029    91.7%
omip_q3_27_lag_10d                      2038    92.1%
omip_q3_27_lag_15d                      2043    92.3%
omip_q3_27_lag_1d                       2029    91.7%
omip_q3_27_lag_20d                      2048    92.5%
omip_q3_27_lag_25d                      2053    92.8%
omip_q3_27_lag_2d                       2030    91.7%
omip_q3_27_lag_30d                      2058    93.0%
omip_q3_27_lag_3d                       2031    91.8%
omip_q3_27_lag_5d                       2033    91.9%
omip_q3_27_lag_65d                      2090    94.4%
omip_q3_27_momentum_20d                 2054    92.8%
omip_q3_27_momentum_65d                 2095    94.7%
omip_q3_27_vol_20d                      2031    91.8%
omip_q3_27_vol_40d                      2041    92.2%
omip_q4_18                              2051    92.7%
omip_q4_18_lag_10d                      2051    92.7%
omip_q4_18_lag_15d                      2051    92.7%
omip_q4_18_lag_1d                       2051    92.7%
omip_q4_18_lag_20d                      2051    92.7%
omip_q4_18_lag_25d                      2051    92.7%
omip_q4_18_lag_2d                       2051    92.7%
omip_q4_18_lag_30d                      2051    92.7%
omip_q4_18_lag_3d                       2051    92.7%
omip_q4_18_lag_5d                       2051    92.7%
omip_q4_18_lag_65d                      2051    92.7%
omip_q4_18_momentum_20d                 2093    94.6%
omip_q4_18_momentum_65d                 2117    95.7%
omip_q4_18_vol_20d                      2025    91.5%
omip_q4_18_vol_40d                      2027    91.6%
omip_q4_19                              1819    82.2%
omip_q4_19_lag_10d                      1819    82.2%
omip_q4_19_lag_15d                      1819    82.2%
